what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1353583136083
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1353583136085
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1353583136087
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1353583136088
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1353583136090
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1353583136093
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1353583136094
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1353583136097
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1353583136098
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1353583136100
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1353583136102
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1353583136105
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1353583136106
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1353583136107
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1353583136108
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1353583136111
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1353583136112
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1353583136114
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1353583136115
os,sysinfo,,,"win32",1353583136120
arch,sysinfo,,,"x86_64",1353583136120
ws,sysinfo,,,"win32",1353583136120
locale,sysinfo,,,"en_IN",1353583136120
processors,sysinfo,,,"4",1353583136120
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1353583136120
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1353583136120
java.specification.name,sysinfo,,,"Java Platform API Specification",1353583136120
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1353583136120
java.specification.version,sysinfo,,,"1.6",1353583136120
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1353583136120
java.version,sysinfo,,,"1.6.0_31",1353583136120
java.vm.info,sysinfo,,,"mixed mode",1353583136120
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1353583136120
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1353583136120
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1353583136120
java.vm.specification.version,sysinfo,,,"1.0",1353583136120
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1353583136120
